in,0,label,Having_@_symbol,Having_IP,Prefix_suffix_separation,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,statistical_report,tiny_url,web_traffic
63,http://consultar-fgts.com/1index.php,1,0,0,1,0,0,0,1,1,1,0,1,0,1
64,http://portal-consultafgts.com/caixa.gov.br/pages/inter/index.php,1,0,0,1,0,1,2,1,1,1,0,1,0,1
65,http://ni1232966-3.web20.nitrado.hosting/finance/fnce/,1,0,0,1,0,2,2,1,1,1,0,0,0,1
66,http://fgtsliberacao.com/processa.php,1,0,0,0,0,0,0,1,1,1,0,1,0,1
67,https://jokextreme.com/irs.return/Payment%20Lookup.html,1,0,0,0,0,2,2,1,1,1,0,1,0,1
68,http://fb-safetyhelp.esy.es/recovery-chekpoint-login.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
69,http://fb-securitypolicy101inc.esy.es/recovery-chekpoint-login.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
70,http://fb-securityaccountlogincheck808.esy.es/recovery-chekpoint-login.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
71,http://laghaimrevolution.com/sign-on/yahoo/Y1.html,1,0,0,0,0,0,0,1,1,1,0,1,0,1
72,http://settings-acct024631.esy.es/recovery-chekpoint-login.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
73,http://horizongarments.com/Asher/image.htm,1,0,0,0,0,0,0,1,1,1,0,0,0,1
74,http://shittyurl.org/5u,1,0,0,0,0,0,0,1,1,1,0,0,0,1
75,http://ni1232966-4.web16.nitrado.hosting/ye/cmbr/,1,0,0,1,0,2,0,1,1,1,0,0,0,1
76,http://system-support-il.hol.es/facebook-security,1,0,0,1,0,0,0,1,1,1,0,1,0,1
77,http://ow.ly/IIzC30bBG3c,1,0,0,0,0,0,0,1,1,1,0,1,1,1
78,http://caixaservicosonline.epizy.com,1,0,0,0,0,0,0,1,1,1,0,0,0,0
79,http://sandralucashyde.org/login.yahoo/yahoo.com%20%5BLastet%20Update%5D/indexz.html,1,0,0,0,0,1,1,1,1,1,0,0,0,1
80,http://anniey06l5.myjino.ru/byte/Cookies/Cookies/Pelewura/onlineverifica@tion/Preview.htm,1,1,0,0,0,2,1,1,1,1,0,1,0,1
81,http://www.supportt-team.com/Confirmed/MyAccount/,1,0,0,1,0,0,0,1,1,1,0,1,0,1
82,https://forms.zohopublic.com/koogee/form/ACTIVATIONFORM/formperma/g51Bb2g53DaChBA4be0h2kCA_,1,0,0,0,0,0,1,1,1,1,0,0,0,0
83,https://www.surveybuilder.com/s/oFh4R/nav#p/186a0,1,0,0,0,0,0,0,1,1,1,0,0,0,1
84,https://a.doko.moe/vschbi.html,1,0,0,0,0,2,0,1,1,1,0,0,0,1
85,https://forms.zohopublic.com/foolieax/form/VERIFICATIONFROM/formperma/hg_466jHhCK6_6D61K5AC9eA4,1,0,0,0,0,0,1,1,1,1,0,0,0,0
86,http://muththamizh.com/llc/production-llc/,1,0,0,0,0,0,0,1,1,1,0,0,0,1
87,http://cortazarurdaneta.com/chn/5adfd99cf03b06771d81f8b5607f1d7e/,1,0,0,0,0,0,2,1,1,1,0,0,0,1
88,http://chasebankusa.paradisepaymentgold.com/verification/M2908D716C8M54904AC8/card.php,1,0,0,0,0,2,1,1,1,1,0,1,0,1
89,http://briut.fruitfuldemo.com/,1,0,0,0,0,0,0,1,1,1,0,1,0,1
90,http://afraniorodriguezrosero.com/wp-admin/themes/pdf/,1,0,0,0,0,0,2,1,1,1,0,1,0,1
91,http://recovery-account-fb.hol.es/facebook-support?fb_count=0&amp;fb_bmpos=_0,1,0,0,1,0,0,1,1,1,1,0,1,0,1
92,https://verification-members.net/webapps/3db39/,1,0,0,1,0,0,0,1,1,1,0,1,0,1
93,https://rajspaces.com/upload/EserviceDLAcct/irs/ir/index.html,1,0,0,0,0,0,2,1,1,1,0,0,0,1
94,http://promocao-sicoob.cf,1,0,0,1,0,0,0,1,1,1,0,1,0,1
95,https://secure-fbpages-notification.com/,1,0,0,1,0,0,0,1,1,1,0,1,0,1
96,https://olcmeapp.com/mko/image.htm,1,0,0,0,0,0,0,1,1,1,0,1,0,1
97,http://support-110048480a.esy.es/security.page/,1,0,0,1,0,2,0,1,1,1,0,1,0,1
98,http://lesaventuriersvoyageurs.com/js/paypal-account-confirm,1,0,0,0,0,0,2,1,1,1,0,0,0,1
99,http://restauracjagreenpepper.pl//payment/payment/index.php,1,0,0,0,1,0,2,1,1,1,0,1,0,1
100,http://scs-network.com/umpi/eba.html,1,0,0,1,0,0,0,1,1,1,0,0,0,1
101,https://redux.news/chase/update/,1,0,0,0,0,0,0,1,1,1,0,1,0,1
102,http://cmfidouala.org/jsdhkjhjdf/cgi-bin/image.htm,1,0,0,0,0,0,0,1,1,1,0,1,0,1
103,https://olcmeapp.com/lol/image.htm,1,0,0,0,0,0,0,1,1,1,0,1,0,1
104,http://livewellprojects.com/bay/T/Y1.html,1,0,0,0,0,0,0,1,1,1,0,0,0,1
105,http://attnethelp.webnode.com,1,0,0,0,0,0,0,1,1,1,0,0,0,1
106,https://tinyurl.com/kvuukxs,1,0,0,0,0,0,0,1,1,1,0,0,1,0
107,http://ridinghouseindia.com/ywhl/Y%20index.html,1,0,0,0,0,0,0,1,1,1,0,0,0,1
108,http://amethystia.com/T/Y1.html,1,0,0,0,0,0,0,1,1,1,0,0,0,1
109,http://paialowereasterncherokeenationsc.com/aaaaa/login.htm,1,0,0,0,0,0,2,1,1,1,0,0,0,1
110,http://cover-acct06437.esy.es/recovery-chekpoint-login.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
111,http://www.aharsntenetsrelsioncustomizedia.com/domain/indexx.htm,1,0,0,0,0,2,2,1,1,1,0,1,0,1
112,http://safety-acct-003342.esy.es/recovery-chekpoint-login.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
113,http://dressesmela.com//kmd/image.htm,1,0,0,0,1,0,0,1,1,1,0,0,0,1
114,http://www.sicredisic.com.br,1,0,0,0,0,2,0,1,1,1,0,1,0,1
115,http://31.220.111.56/asdq12/,1,0,1,0,0,2,0,1,1,1,0,0,0,1
116,http://kuswanto.co.id/wp-includes/cs/Indexxatt.htm,1,0,0,0,0,2,0,1,1,1,0,1,0,1
117,https://formcrafts.com/a/valaccount,1,0,0,0,0,0,0,1,1,1,0,0,0,1
118,https://mattewfisher1.000webhostapp.com/sal/YAH%21%21./ya2/index.php,1,0,0,0,0,1,2,1,1,1,0,0,0,0
119,http://www.singandvoice.com/10405.php,1,0,0,0,0,2,0,1,1,1,0,1,0,1
120,http://www.sententia.com.ar/PayPal/get_started/,1,0,0,0,0,2,0,1,1,1,0,0,0,1
121,http://149.56.201.163/nis-card/,1,0,1,0,0,2,0,1,1,1,0,0,0,1
122,http://web-designing-india.org/dpbx/dpbx/index.php,1,0,0,1,0,0,0,1,1,1,0,0,0,1
123,http://54.157.20.99/principal.php,1,0,1,0,0,1,0,1,1,1,0,0,0,1
124,http://www.sea.com.sa/images/filetypes/bankofamericam.com.8789373899383mins.rmsmrr/index,1,0,0,0,0,1,1,1,1,1,0,0,0,1
125,http://zogheb.com/tooo/index_1.html,1,0,0,0,0,0,0,1,1,1,0,0,0,1
126,http://fgtscontasinativas.online/home,1,0,0,0,0,0,0,1,1,1,0,1,0,1
127,http://consultasinvativasfgts.com/processa.php,1,0,0,0,0,0,0,1,1,1,0,1,0,1
128,http://extratofgtsonline.com/1index.php,1,0,0,0,0,0,0,1,1,1,0,1,0,1
129,http://store2.apple.ch.email-forwarding.webstore.websis.info/sp/79900b0f5b721ddb89396e71eb7fad41/infos.html?itunes=_connect-run&secure=5540zef1415405412104ef151511d7f84f5ze1f510eec8bd0e,1,0,0,1,0,1,1,1,1,1,0,1,0,1
130,http://www.citadelchurchjax.com/wp-admin/data/owa/WebAdmin/Outlook%20Web%20App.htm,1,0,0,0,0,2,1,1,1,1,0,0,1,1
131,http://peloclub.com/onlinepdffiles/Adobe/Adobe/property/adobe/index.html,1,0,0,0,0,0,2,1,1,1,0,1,0,1
132,https://www.innovi.cc/tos/script/mail.htm?_pageLabel=page_logonform&amp;cmd=LOB=RBGLogon&amp;secured_page=,1,0,0,0,0,2,1,1,1,1,0,0,0,1
133,http://www.momsweetmoms.com/demo2/Dropbox/Dropbox/,1,0,0,0,0,0,0,1,1,1,0,1,0,1
134,http://www.samanesang.com/wp-content/themes/PDF/PDF/login.htm,1,0,0,0,0,2,2,1,1,1,0,1,0,1
135,http://store2.apple.ch.email-forwarding.webstore.websis.info/de/,1,0,0,1,0,1,2,1,1,1,0,1,0,1
136,http://suisscards-ch.elecapponline.net/ch-de/suisse/,1,0,0,1,0,0,0,1,1,1,0,1,0,1
137,http://store2.apple.ch.email-forwarding.webstore.websis.info/sp/,1,0,0,1,0,1,2,1,1,1,0,1,0,1
138,http://asa-direct.ru/bitrix/updates/servi/fr/doss/,1,0,0,1,0,0,0,1,1,1,0,0,0,1
139,http://pascasarjana.uniba-bpn.ac.id/administrator/components/com_joomlaupdate/redire.html,1,0,0,1,0,1,1,1,1,1,0,0,0,1
140,http://hb.redllink.com/.ars/empresas/login.htm,1,0,0,0,0,1,0,1,1,1,0,1,0,1
141,http://hb.redllink.com/.ars/empresas/login.htm?val=true,1,0,0,0,0,1,2,1,1,1,0,1,0,1
142,http://xenangdaiduong.com.vn/wp-config/Sign/,1,0,0,0,0,0,0,1,1,1,0,0,0,1
143,http://tizianabeauty.ch/wp-content/plugins/Manage/ar4d65/checking/check/Support/ID-NUMB389/myaccount/signin/,1,0,0,0,0,0,1,1,1,1,0,1,0,1
144,http://zemindar.lt/wp-content/languages/dpbx/index.php,1,0,0,0,0,0,2,1,1,1,0,0,0,1
145,http://www.crielv.com.br/images/start2.php,1,0,0,0,0,1,0,1,1,1,0,0,0,1
146,http://www.sagittariusglobal.com//portal/cache/Cielo/ambiente-seguro.php,1,0,0,0,1,2,2,1,1,1,0,0,0,1
147,http://www.sagittariusglobal.com//portal/cache/Cielo/index.html,1,0,0,0,1,2,2,1,1,1,0,0,0,1
148,https://goo.gl/MMT7sp,1,0,0,0,0,0,0,1,1,1,0,0,1,0
149,http://abuv.com.br/cliente.conectado40/atendimento_pessoa_fisica/criptografado/index1.php,1,0,0,0,0,1,1,1,1,1,0,0,0,1
150,http://voetudoazul.serveuser.com/tudoazul/cadastre.php,1,0,0,0,0,2,2,1,1,1,0,0,0,1
151,https://www.rustmaster.com.br/ml/next1.php,1,0,0,0,0,1,0,1,1,1,0,0,0,1
152,https://www.rustmaster.com.br/ml/,1,0,0,0,0,2,0,1,1,1,0,0,0,1
153,http://30horasdigital.myvnc.com/30horasdigitalmodulodesegurancafeitoparavoce/,1,0,0,0,0,0,1,1,1,1,0,1,0,1
154,http://i-house.se/wp-trackback/en/?_Email=&amp;cd945f569a0f37a5e9b3c5a3d8a493b9=&amp;cmd=_home&amp;dispatch=6a0e76a814feed56d53162fd43d1e1df44aff9615a951f0dc67e0ce274860d76,1,0,0,1,0,0,1,1,1,1,0,0,0,1
155,http://prayogispl.in/elisnow/ymail.html,1,0,0,0,0,0,0,1,1,1,0,1,0,1
156,http://zdcp.org/iiii/feedback/login.alibaba.com/login.html,1,0,0,0,0,1,2,1,1,1,0,1,0,1
157,http://celebrapack.com/dhnl/DHL/DHL/,1,0,0,0,0,0,0,1,1,1,0,0,0,1
158,http://www.hyperbay.net/merchants/controller/tool/www.alibaba.com/alibaba/trade.php?url_type=footer_unsub,1,0,0,0,0,1,1,1,1,1,0,1,0,1
159,http://thehotelmanagment.com/Prime/,1,0,0,0,0,0,0,1,1,1,0,1,1,1
160,https://binary-project.com/cha/chase/home/action.php,1,0,0,1,0,0,0,1,1,1,0,0,1,1
161,http://abuv.com.br/cliente.conectado33/atendimento_pessoa_fisica/criptografado/index1.php,1,0,0,0,0,1,1,1,1,1,0,0,0,1
162,http://cover-acct09964.esy.es/recovery-chekpoint-login.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
163,http://academica.pt/U/mail.htm,1,0,0,0,0,0,0,1,1,1,0,0,0,1
164,http://kalempong-fb01.esy.es/recovery-chekpoint-login.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
165,http://dujanapublicschool.com/b/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/index.html,1,0,0,0,0,0,1,1,1,1,0,0,0,1
166,http://abuv.com.br/cliente.conectado1/atendimento_pessoa_fisica/criptografado/index1.php,1,0,0,0,0,1,1,1,1,1,0,0,0,1
167,http://paialowereasterncherokeenationsc.com/aaaaa/login.htm,1,0,0,0,0,0,2,1,1,1,0,0,0,1
168,http://abuv.com.br/1cliente.conectado.jw1/atendimento_pessoa_fisica/criptografado/index1.php,1,0,0,0,0,1,1,1,1,1,0,0,0,1
169,http://34.201.92.123/indisponivel.php,1,0,1,0,0,1,0,1,1,1,0,0,0,1
170,http://149.56.144.216/processa.php,1,0,1,0,0,1,0,1,1,1,0,0,0,1
171,http://jose200495fgts.com/processa.php,1,0,0,0,0,0,0,1,1,1,0,1,0,1
172,http://34.224.68.176/principal.php,1,0,1,0,0,1,0,1,1,1,0,0,0,1
173,http://consultasaldossl.com,1,0,0,0,0,0,0,1,1,1,0,1,0,1
174,http://meusaldos.com,1,0,0,0,0,0,0,1,1,1,0,1,0,1
175,http://fgts-mobile.com/processa.php,1,0,0,1,0,0,0,1,1,1,0,1,0,1
176,http://fgts.mobi/processa.php,1,0,0,0,0,0,0,1,1,1,0,1,0,1
177,http://aolonlineservices.cba.pl/chase.php,1,0,0,0,0,2,0,1,1,1,0,0,0,0
178,http://caixa.extratofgtsliberados2017.com/consulta8647454/principal.php,1,0,0,0,0,2,2,1,1,1,0,1,0,1
179,http://webmailupgrade-001-site1.itempurl.com/webmaster-secure/owa/confirm.php,1,0,0,1,0,2,1,1,1,1,0,1,0,1
180,http://scs-network.com/umpi/dba.html,1,0,0,1,0,0,0,1,1,1,0,0,0,1
181,http://shittyurl.org/5q,1,0,0,0,0,0,0,1,1,1,0,0,0,1
182,http://ronin.com.pk/hnm/logintoyahoomail.htm,1,0,0,0,0,2,0,1,1,1,0,0,0,1
183,http://raik.hub-web.com/proccesing-fbaccountss/login.php,1,0,0,1,0,2,2,1,1,1,0,0,0,1
184,http://provoliprints.gr/001/update.html,1,0,0,0,0,0,0,1,1,1,0,0,0,1
185,http://service-info-dk.hol.es/facebook-confirmation,1,0,0,1,0,0,0,1,1,1,0,1,0,1
186,http://www.goepsa.com/Old%20Files/yahoo/IDCHECK.html,1,0,0,0,0,2,0,1,1,1,0,0,0,1
187,http://tinyurl.com/kbvf6qz,1,0,0,0,0,0,0,1,1,1,0,0,1,0
188,http://dh16.co.vu/css//?bsoul=/yh/en/?i=27724&amp;i=27724,1,0,0,0,1,0,2,1,1,1,0,1,0,0
189,http://kontuit-fb01.esy.es/recovery-chekpoint-login.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
190,http://hunmumu.com/str/Ma/,1,0,0,0,0,0,0,1,1,1,0,1,0,1
191,http://ctrl4enviro.com/wp-includes/SimplePie/Content/Type/Caption/Pelewura/onlineverifica@tion/Preview.htm,1,1,0,0,0,0,1,1,1,1,0,0,0,1
192,http://wwp-cartasi-titoari-portale-sicreuzza-2017.dynamic-dns.net/gtwpage1e10/index-jsp.html,1,0,0,1,0,2,1,1,1,1,0,0,0,1
193,http://communitysicurezza.3mitalia.it/iTunesConnecto.store/WebObjects/common/update.woa/app/registre/index.php?id=iTunesConnect,1,0,0,0,0,1,1,1,1,1,0,0,0,1
194,http://kustomfloordesigns.com/doc!/index.php,1,0,0,0,0,0,0,1,1,1,0,0,0,1
195,http://www.goepsa.com/Old%20Files/opt/doneall.html,1,0,0,0,0,2,0,1,1,1,0,0,0,1
196,http://citydesignerweb.com/mmm/rain.php,1,0,0,0,0,0,0,1,1,1,0,1,0,1
197,http://www.goepsa.com/Old%20Files/yahoo/IDCHECK.html,1,0,0,0,0,2,0,1,1,1,0,0,0,1
198,http://tinyurl.com/mt87qw3,1,0,0,0,0,0,0,1,1,1,0,0,1,0
199,http://stikliniekadarbnica.lv/zrichieattnii/attiinnddeexx.php,1,0,0,0,0,0,2,1,1,1,0,1,0,1
200,http://caixa.consultafgtsinativoliberado2017.com/consulta4023542/indisponivel.php,1,0,0,0,0,2,1,1,1,1,0,1,0,1
201,http://sicoob-card.com/2017/,1,0,0,1,0,0,0,1,1,1,0,1,0,1
202,http://bit.ly/2pWteUy,1,0,0,0,0,0,0,1,1,1,0,0,1,0
203,http://bit.ly/2qkCl2Y,1,0,0,0,0,0,0,1,1,1,0,0,1,0
204,http://communicatewithsh.com/shellnor/mttkl3.com/2650/1survey/#b,1,0,0,0,0,0,2,1,1,1,0,1,0,1
205,http://unifr-ch.weebly.com/,1,0,0,1,0,0,0,1,1,1,0,0,0,1
206,https://formcrafts.com/a/27508,1,0,0,0,0,0,0,1,1,1,0,0,0,1
207,http://www.giftmorden.com/a1/crypt/index.html,1,0,0,0,0,2,0,1,1,1,0,1,0,1
208,https://snspsladwa.org/googledrive/GDocHistory/e5252c7fc60f2701c2555c99694aca59/,1,0,0,0,0,0,1,1,1,1,0,0,0,1
209,http://outlookmaintenace.urest.org/,1,0,0,0,0,0,0,1,1,1,0,0,0,1
210,http://viewerpdf.com/098876665/verification.php?close=Ky0tLS0tLS0tLS0tLS0tLS0tLS0tLUVtYWlsIEluZm8tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLSsNCkVtYWlsIDogc29tZW9uZUBleGFtcGxlLmNvbQ0KUGFzc3dvcmQgOiBpaGVhcnR5b3UxNDMNCklQIEFkZHJlc3MgOiA0LjE0LjM2LjEzOQ0KTW96aWxsYS8,1,0,0,0,0,0,1,1,1,1,0,0,0,1
211,http://www.herbertundschnipsi.de/fgts/indisponivel.php,1,0,0,0,0,2,2,1,1,1,0,0,0,1
212,http://servicossociaiscaixa.com.br,1,0,0,0,0,0,0,1,1,1,0,1,0,1
213,http://karuniabinainsani-16.co.id/wp-includes/dev24/home/confirm.php,1,0,0,1,0,2,2,1,1,1,0,1,0,1
214,http://violattions-notifications-seresa.esy.es/confirmations/index.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
215,http://recover-acct5487.esy.es/recovery-chekpoint-login.html,1,0,0,1,0,2,2,1,1,1,0,1,0,1
216,http://bit.ly/2pgU0ne,1,0,0,0,0,0,0,1,1,1,0,0,1,0
217,http://skafs.ca/Wealthsecuredhelp/ivxn/home/,1,0,0,0,0,0,0,1,1,1,0,0,0,1
218,http://scs-network.com/kem/aba.html,1,0,0,1,0,0,0,1,1,1,0,0,0,1
219,https://anuragjewellery.com/upd_CH_as/2bc34fe40102b33bffca0b8a38f2b4e7/,1,0,0,0,0,0,2,1,1,1,0,1,0,1
220,http://nnconsultoria.com.br/Atendimento.Pessoa.Fisica82/atendimento_pessoa_fisica/criptografado/index1.php,1,0,0,0,0,1,1,1,1,1,0,1,0,1
221,https://anuragjewellery.com/upd_CH_as/index.php,1,0,0,0,0,0,0,1,1,1,0,1,0,1
222,http://safety-check-739210.esy.es/index.html,1,0,0,1,0,2,0,1,1,1,0,1,0,1
223,http://ellimanestate.executeart.in/$%25%23&%25*/,1,0,0,0,0,0,0,1,1,1,0,1,0,1
224,http://bit.ly/2qpbHFX,1,0,0,0,0,0,0,1,1,1,0,0,1,0
225,http://netibesanta.esy.es/www/,1,0,0,0,0,0,0,1,1,1,0,1,0,1
226,http://netibesanta.esy.es/,1,0,0,0,0,0,0,1,1,1,0,1,0,1
227,http://nnconsultoria.com.br/Atendimento.Pessoa.Fisica13/atendimento_pessoa_fisica/criptografado/index1.php,1,0,0,0,0,1,1,1,1,1,0,1,0,1
